gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,1/16/2020 11:47,1,10.01,6,Red,top,Bin,Suning,Mordekaiser,Akali,Aphelios,Olaf,Pantheon,Renekton,2436,0,5,5,8,19,18,0,0,0,0,0,0,0,1,0.468,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,23301,573.9163,0.243023,715.9852,842.5123,19,0.468,3,0.0739,8,33,0.8128,13819,8574,211.1823,0.237422,14050,,252,226,26,15,0,6.2069,2649,3957,57,3702,5031,93,-1053,-1074,-36,4813,6700,103,5711,7629,145,-898,-929,-42
5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,1/16/2020 11:47,1,10.01,7,Red,jng,SofM,Suning,Lee Sin,Akali,Aphelios,Olaf,Pantheon,Renekton,2436,0,3,3,9,19,18,0,0,0,0,0,0,0,0,0.468,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,11612,286.0099,0.12111,917.8079,1096.9704,29,0.7143,22,0.5419,17,77,1.8966,12610,7365,181.4039,0.203943,11650,,227,64,163,97,14,5.5911,3166,3619,73,3346,2932,54,-180,687,19,5167,5918,108,4762,4499,87,405,1419,21
5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,1/16/2020 11:47,1,10.01,8,Red,mid,Angel,Suning,Zoe,Akali,Aphelios,Olaf,Pantheon,Renekton,2436,0,10,3,3,19,18,1,0,0,0,0,0,0,0,0.468,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,30307,746.4778,0.316093,349.7044,191.8719,25,0.6158,9,0.2217,12,46,1.133,13739,8494,209.2118,0.235206,13435,,234,218,16,16,0,5.7635,3296,4865,92,3505,4887,88,-209,-22,4,5760,7285,133,4995,6880,128,765,405,5
5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,1/16/2020 11:47,1,10.01,9,Red,bot,Weiwei,Suning,Senna,Akali,Aphelios,Olaf,Pantheon,Renekton,2436,0,1,3,12,19,18,0,0,0,0,0,0,0,0,0.468,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,25953,639.2365,0.270682,382.1921,238.5961,15,0.3695,16,0.3941,4,58,1.4286,13923,8678,213.7438,0.240302,14080,,277,255,22,22,0,6.8227,3323,3158,84,3333,3119,89,-10,39,-5,4861,5225,122,4576,4635,121,285,590,1
5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,1/16/2020 11:47,1,10.01,10,Red,sup,SwordArt,Suning,Tahm Kench,Akali,Aphelios,Olaf,Pantheon,Renekton,2436,0,0,4,10,19,18,0,0,0,0,0,0,0,0,0.468,0.9113,,,,,,,,,,,,,,,,,,,,,,,,,,4707,115.936,0.0490926,567.8571,714.3596,67,1.6502,8,0.197,16,98,2.4138,8247,3002,73.9409,0.0831273,7500,,33,33,0,0,0,0.8128,2228,2593,15,2123,2491,13,105,102,2,3401,4002,21,3133,3483,21,268,519,0
5662-7264,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,1/16/2020 11:47,1,10.01,200,Red,team,,Suning,,Akali,Aphelios,Olaf,Pantheon,Renekton,2436,0,19,18,42,19,18,1,0,0,0,0,,,,0.468,0.9113,1,4,3,4,2,3,0,1,0,,0,1,0,1,1,0,0,2,1,5,8,1,1,1,1,95880,2361.5764,,2933.5468,3084.3103,155,3.8177,58,1.4286,57,312,7.6847,62338,36113,889.4828,,60715,0.000906282,,,227,150,14,,14662,18192,321,16009,18460,337,-1347,-268,-16,24002,29130,487,23177,27126,502,825,2004,-15
5662-7267,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,1/16/2020 12:49,2,10.01,1,Blue,top,Bin,Suning,Mordekaiser,Olaf,Ryze,Pantheon,Braum,Nautilus,2097,0,1,5,5,11,12,0,0,0,0,1,0,1,0,0.3147,0.6581,,,,,,,,,,,,,,,,,,,,,,,,,,13997,400.4864,0.234405,580.3147,844.1774,13,0.372,7,0.2003,7,33,0.9442,10484,5931,169.6996,0.191681,10225,,207,203,4,2,0,5.9227,3050,3734,57,3458,4600,84,-408,-866,-27,4758,6287,97,5589,7082,126,-831,-795,-29
5662-7267,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,1/16/2020 12:49,2,10.01,2,Blue,jng,SofM,Suning,Lee Sin,Olaf,Ryze,Pantheon,Braum,Nautilus,2097,0,3,1,5,11,12,0,0,0,0,1,1,0,0,0.3147,0.6581,,,,,,,,,,,,,,,,,,,,,,,,,,8629,246.8956,0.144508,802.289,865.4649,21,0.6009,18,0.515,14,56,1.6023,11362,6809,194.8212,0.220058,10825,,211,47,164,114,18,6.0372,3634,3474,69,2810,2818,55,824,656,14,5699,5645,106,4214,4323,88,1485,1322,18
5662-7267,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,1/16/2020 12:49,2,10.01,3,Blue,mid,Angel,Suning,Rumble,Olaf,Ryze,Pantheon,Braum,Nautilus,2097,0,2,0,7,11,12,0,0,0,0,0,0,0,0,0.3147,0.6581,,,,,,,,,,,,,,,,,,,,,,,,,,19573,560.0286,0.327785,341.0873,307.6681,16,0.4578,3,0.0858,10,28,0.8011,10645,6092,174.3062,0.196884,10450,,210,203,7,7,0,6.0086,3009,4571,78,3415,4314,80,-406,257,-2,5147,6909,122,5968,7686,140,-821,-777,-18
5662-7267,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,1/16/2020 12:49,2,10.01,4,Blue,bot,Weiwei,Suning,Miss Fortune,Olaf,Ryze,Pantheon,Braum,Nautilus,2097,0,4,4,5,11,12,1,1,0,0,0,0,0,0,0.3147,0.6581,,,,,,,,,,,,,,,,,,,,,,,,,,14020,401.1445,0.23479,280.5436,347.9828,10,0.2861,16,0.4578,4,35,1.0014,14293,9740,278.6838,0.314791,13925,,311,275,36,30,0,8.8984,3279,3456,89,3395,3312,93,-116,144,-4,5101,5271,118,5233,5150,142,-132,121,-24
5662-7267,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,1/16/2020 12:49,2,10.01,5,Blue,sup,SwordArt,Suning,Leona,Olaf,Ryze,Pantheon,Braum,Nautilus,2097,0,1,2,3,11,12,0,0,0,0,0,0,0,0,0.3147,0.6581,,,,,,,,,,,,,,,,,,,,,,,,,,3494,99.9714,0.0585132,567.01,984.2918,71,2.0315,11,0.3147,21,98,2.804,6923,2370,67.8112,0.0765853,6325,,32,32,0,0,0,0.9156,2313,2492,12,2003,2542,13,310,-50,-1,3454,3208,19,3142,3814,19,312,-606,0
5662-7267,complete,https://lpl.qq.com/es/stats.shtml?bmid=5662,LPL,2020,Spring,0,1/16/2020 12:49,2,10.01,100,Blue,team,,Suning,,Olaf,Ryze,Pantheon,Braum,Nautilus,2097,0,11,12,25,11,12,1,1,0,0,1,,,,0.3147,0.6581,1,2,3,2,3,1,1,0,0,,0,0,1,2,0,0,0,1,0,3,8,1,1,0,1,59713,1708.5265,,2571.2446,3349.5851,131,3.7482,55,1.5737,56,250,7.1531,53707,30940,885.2647,,51750,-0.0374496,,,211,153,18,,15285,17727,305,15081,17586,325,204,141,-20,24159,27320,462,24146,28055,515,13,-735,-53
5956-7313,partial,https://lpl.qq.com/es/stats.shtml?bmid=5956,LPL,2020,Spring,0,3/10/2020 11:21,1,10.04,1,Blue,top,Biubiu,Suning,Renekton,Olaf,Lee Sin,Mordekaiser,Thresh,Nautilus,2856,0,2,5,4,15,31,0,0,0,0,1,0,1,0,0.3151,0.9664,,,,,,,,,,,,,,,,,,,,,,,,,,23383,491.2395,0.127158,1184.0126,885.1681,15,0.3151,14,0.2941,8,50,1.0504,17222,11120,233.6134,0.239088,17200,,386,364,22,8,7,8.1092,3572,4852,87,2818,4038,67,754,814,20,5705,8299,150,5742,7363,127,-37,936,23
5956-7313,partial,https://lpl.qq.com/es/stats.shtml?bmid=5956,LPL,2020,Spring,0,3/10/2020 11:21,1,10.04,2,Blue,jng,SofM,Suning,Gragas,Olaf,Lee Sin,Mordekaiser,Thresh,Nautilus,2856,0,1,9,10,15,31,0,0,0,0,1,0,1,0,0.3151,0.9664,,,,,,,,,,,,,,,,,,,,,,,,,,28316,594.8739,0.153984,936.6176,579.6218,56,1.1765,29,0.6092,23,110,2.3109,13853,7751,162.8361,0.166653,14125,,252,55,197,135,24,5.2941,3149,3370,62,3187,3471,64,-38,-101,-2,5016,5427,92,5383,5934,95,-367,-507,-3
5956-7313,partial,https://lpl.qq.com/es/stats.shtml?bmid=5956,LPL,2020,Spring,0,3/10/2020 11:21,1,10.04,3,Blue,mid,Angel,Suning,Ornn,Olaf,Lee Sin,Mordekaiser,Thresh,Nautilus,2856,0,6,6,9,15,31,1,0,0,0,1,1,0,0,0.3151,0.9664,,,,,,,,,,,,,,,,,,,,,,,,,,21935,460.8193,0.119284,921.4916,1386.6597,32,0.6723,21,0.4412,14,66,1.3866,16700,10598,222.6471,0.227864,15550,,289,289,0,0,0,6.0714,3555,4543,84,3457,4910,90,98,-367,-6,5972,8031,141,6071,8239,145,-99,-208,-4
5956-7313,partial,https://lpl.qq.com/es/stats.shtml?bmid=5956,LPL,2020,Spring,0,3/10/2020 11:21,1,10.04,4,Blue,bot,huanfeng,Suning,Ezreal,Olaf,Lee Sin,Mordekaiser,Thresh,Nautilus,2856,0,4,7,5,15,31,1,0,0,0,0,0,0,0,0.3151,0.9664,,,,,,,,,,,,,,,,,,,,,,,,,,81066,1703.0672,0.440842,1137.9832,693.3613,22,0.4622,19,0.3992,6,70,1.4706,19320,13218,277.6891,0.284196,18133,,427,353,74,59,14,8.9706,3090,2736,82,3289,3415,91,-199,-679,-9,4890,4664,133,6392,6990,163,-1502,-2326,-30
5956-7313,partial,https://lpl.qq.com/es/stats.shtml?bmid=5956,LPL,2020,Spring,0,3/10/2020 11:21,1,10.04,5,Blue,sup,SwordArt,Suning,Yuumi,Olaf,Lee Sin,Mordekaiser,Thresh,Nautilus,2856,0,2,4,11,15,31,0,0,0,0,0,0,0,0,0.3151,0.9664,,,,,,,,,,,,,,,,,,,,,,,,,,29189,613.2143,0.158732,234.4328,144.5378,65,1.3655,16,0.3361,17,87,1.8277,9925,3823,80.3151,0.0821994,8675,,23,23,0,0,0,0.4832,1884,2676,2,1964,2881,2,-80,-205,0,2973,4437,6,3729,5132,10,-756,-695,-4
5956-7313,partial,https://lpl.qq.com/es/stats.shtml?bmid=5956,LPL,2020,Spring,0,3/10/2020 11:21,1,10.04,100,Blue,team,,Suning,,Olaf,Lee Sin,Mordekaiser,Thresh,Nautilus,2856,0,15,31,39,15,31,2,0,0,0,1,,,,0.3151,0.9664,0,1,5,,,,,,,1,,,1,1,0,0,0,3,0,4,10,0,0,0,0,183889,3863.2143,,4414.5378,3689.3487,190,3.9916,99,2.0798,68,383,8.0462,77020,46511,977.1218,,73683,-0.0345697,,,293,202,45,,15250,18177,317,14715,18715,314,535,-538,3,24556,30858,522,27317,33658,540,-2761,-2800,-18
5956-7314,complete,https://lpl.qq.com/es/stats.shtml?bmid=5956,LPL,2020,Spring,0,3/10/2020 12:29,2,10.04,6,Red,top,Biubiu,Suning,Renekton,Sett,Aphelios,Lee Sin,Thresh,Rek'Sai,1707,1,1,0,3,16,1,0,0,0,0,0,0,0,0,0.5624,0.5975,,,,,,,,,,,,,,,,,,,,,,,,,,7507,263.8664,0.115087,745.5536,535.9227,8,0.2812,7,0.246,3,32,1.1248,11672,7914,278.1722,0.215628,9975,,269,244,25,16,1,9.4552,3523,5108,100,3255,4742,87,268,366,13,5489,7858,152,4715,6594,127,774,1264,25
